Trajectories
100
,,Sano:Wrist,,,Sano:MPH3,,,Sano:PIP3,,,Sano:DIP3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-128.801025,157.329208,38.657070,-31.531830,71.132019,53.447075,9.595132,35.994999,49.303555,34.046181,4.346477,31.749815
2,0,-128.814819,157.288498,38.656288,-31.533926,71.112427,53.430553,9.571244,36.000137,49.323002,34.026455,4.325565,31.721376
3,0,-128.827133,157.274353,38.675720,-31.572479,71.134811,53.441036,9.572892,35.981678,49.325356,34.049702,4.334188,31.739340
4,0,-128.822556,157.271042,38.681889,-31.544716,71.097054,53.463196,9.588824,35.958008,49.337852,34.052696,4.338417,31.735916
5,0,-128.818726,157.275833,38.682194,-31.558834,71.108261,53.466576,9.613371,35.944542,49.315426,34.055920,4.342173,31.735893
6,0,-128.809540,157.254013,38.675098,-31.526859,71.114151,53.455357,9.593938,35.972805,49.293304,34.058403,4.336380,31.746138
7,0,-128.806915,157.262085,38.658703,-31.519722,71.133034,53.450153,9.627955,35.945728,49.304340,34.065594,4.336092,31.751663
8,0,-128.804733,157.255798,38.674801,-31.519960,71.146042,53.434753,9.618651,35.937397,49.309586,34.068306,4.337801,31.754896
9,0,-128.804031,157.212524,38.667263,-31.529825,71.120026,53.423943,9.585801,35.994244,49.323444,34.072388,4.328225,31.762362
10,0,-128.785141,157.195038,38.703690,-31.556789,71.138191,53.412834,9.614321,35.994682,49.357487,34.094517,4.411821,31.766445
11,0,-128.808746,157.199417,38.689701,-31.542500,71.125237,53.439526,9.573087,35.959007,49.317951,34.083500,4.324545,31.781013
12,0,-128.826691,157.179855,38.683502,-31.555895,71.115013,53.409554,9.626506,35.956470,49.344311,34.114071,4.393850,31.746849
13,0,-128.834091,157.138535,38.686722,-31.526342,71.092758,53.423943,9.630558,35.960178,49.358070,34.109989,4.390255,31.752501
14,0,-128.869537,157.144623,38.692719,-31.576551,71.083305,53.431755,9.547521,35.916477,49.308022,34.073898,4.344145,31.787027
15,0,-128.870819,157.152786,38.731018,-31.590693,71.059357,53.433533,9.515004,35.943466,49.303288,34.077351,4.317067,31.772102
16,0,-128.882599,157.149857,38.726353,-31.597696,71.068596,53.446899,9.559040,35.947044,49.332470,34.114624,4.378971,31.753246
17,0,-128.888092,157.106186,38.749878,-31.595026,71.049591,53.440868,9.533407,35.930054,49.332794,34.081573,4.313187,31.811203
18,0,-128.879684,157.111938,38.779472,-31.611603,71.076286,53.440952,9.562843,35.938148,49.346798,34.115627,4.388750,31.792492
19,0,-128.957932,157.096802,38.769203,-31.594780,71.021240,53.450245,9.511857,35.901619,49.345184,34.073544,4.315529,31.779390
