Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-82.288513,152.882858,0.582167,-29.953337,78.186516,55.209732,-123.419456,86.069496,4.378237,11.777127,35.209217,49.490620,29.573040,7.483969,32.829605,40.255177,33.205063,28.947342
2,0,-82.282227,152.893784,0.533066,-29.945387,78.214630,55.196903,-123.438438,86.118698,4.325664,11.803602,35.221237,49.493740,29.597605,7.484349,32.833817,40.274296,33.208691,28.946417
3,0,-82.285423,152.882523,0.509219,-29.954098,78.227478,55.176117,-123.438438,86.118698,4.325664,11.810404,35.235085,49.507610,29.583284,7.491975,32.825211,40.274120,33.211128,28.937603
4,0,-82.225655,152.907410,0.542435,-29.951178,78.219597,55.189072,-123.422684,86.156487,4.278539,11.808708,35.248959,49.482723,29.616745,7.477622,32.833019,40.271172,33.217018,28.926905
5,0,-82.268967,152.935181,0.534297,-29.927092,78.217857,55.194603,-123.372185,86.216110,4.308156,11.808401,35.252010,49.488705,29.597792,7.493861,32.811451,40.260937,33.243038,28.930847
6,0,-82.236473,152.934082,0.535468,-29.925579,78.220528,55.192215,-123.393135,86.265129,4.256339,11.793396,35.243801,49.468140,29.628643,7.471210,32.836697,40.265259,33.253456,28.928665
7,0,-82.215981,152.931412,0.523067,-29.925772,78.217972,55.191658,-123.394928,86.263870,4.257221,11.807705,35.246105,49.497314,29.623377,7.486335,32.840359,40.260326,33.231865,28.932709
8,0,-82.228615,152.938766,0.548494,-29.945883,78.223625,55.184292,-123.396400,86.266922,4.256712,11.788322,35.219646,49.477741,29.593836,7.488820,32.831097,40.258320,33.247864,28.940107
9,0,-82.216293,152.932098,0.521540,-29.941151,78.239304,55.158794,-123.397911,86.267349,4.257001,11.784958,35.236103,49.484787,29.621162,7.467745,32.861179,40.231979,33.269768,28.948786
10,0,-82.216133,152.932953,0.521863,-29.955362,78.242180,55.157131,-123.397369,86.268372,4.256537,11.765777,35.219631,49.478760,29.620956,7.484107,32.838219,40.242683,33.273064,28.949055
11,0,-82.215752,152.933594,0.522252,-29.928871,78.214073,55.158688,-123.398468,86.268860,4.256695,11.787704,35.218361,49.481586,29.622702,7.484742,32.837948,40.233532,33.281166,28.940592
12,0,-82.228577,152.940720,0.546853,-29.933775,78.256088,55.137306,-123.400154,86.264542,4.258479,11.780982,35.229412,49.474804,29.636471,7.471467,32.849430,40.247795,33.261642,28.940718
13,0,-82.197266,152.920090,0.556041,-29.942688,78.240906,55.163898,-123.415283,86.233612,4.303274,11.761375,35.236382,49.458473,29.616020,7.490899,32.823597,40.230892,33.314999,28.934137
14,0,-82.243896,152.935959,0.517238,-29.926283,78.246536,55.165527,-123.401443,86.183456,4.355383,11.797640,35.243782,49.478027,29.637508,7.473744,32.855835,40.244854,33.270016,28.947449
15,0,-82.228561,152.941391,0.546455,-29.917591,78.229874,55.182690,-123.400597,86.180122,4.356319,11.803824,35.240841,49.471981,29.605110,7.484693,32.835461,40.259308,33.281715,28.954779
16,0,-82.233894,152.947617,0.558781,-29.911535,78.231758,55.173260,-123.400139,86.178444,4.356781,11.799366,35.206673,49.473320,29.657143,7.464177,32.858707,40.260529,33.283306,28.933163
17,0,-82.229103,152.939407,0.546878,-29.916191,78.228378,55.184250,-123.398895,86.182457,4.355363,11.792937,35.249489,49.477432,29.611483,7.493996,32.837513,40.238781,33.291473,28.940458
