Trajectories
100
,,Y_Hara_Hand:forearm,,,Y_Hara_Hand:mp,,,Y_Hara_Hand:PIP,,,Y_Hara_Hand:DIP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,333.379730,76.002983,74.378731,323.514954,104.120781,127.181305,275.709564,122.819565,153.944778,126.106781,166.230972,147.719391
2,0,333.375549,75.975754,74.401741,323.509857,104.123016,127.206131,275.685364,122.790421,153.949570,126.097290,166.209183,147.727707
3,0,333.349976,75.989838,74.384689,323.504639,104.121956,127.206352,275.664642,122.776810,153.962280,126.043304,166.195236,147.735718
4,0,333.375366,76.002495,74.397263,323.516663,104.133720,127.216148,275.659882,122.815109,153.949997,126.215950,165.739319,147.411713
5,0,333.427002,76.001678,74.474945,323.523682,104.173744,127.254723,275.665039,122.865204,153.965286,126.214561,165.714111,147.411194
6,0,333.449677,76.034355,74.516930,323.524109,104.239830,127.304794,275.656158,122.897095,153.971802,126.226845,165.697174,147.425110
7,0,333.427643,76.096703,74.529068,323.517639,104.270645,127.320335,275.654022,122.933228,154.007141,126.176804,165.666321,147.455139
8,0,333.409973,76.148247,74.521431,323.490448,104.342621,127.345932,275.649689,122.962509,154.015503,126.152191,165.626617,147.446930
9,0,333.417969,76.199341,74.585304,323.482361,104.372368,127.371490,275.603638,122.955132,154.083694,126.112122,165.613754,147.465485
10,0,333.428711,76.224266,74.620209,323.432648,104.393204,127.411079,275.559692,122.964516,154.087311,126.092064,165.634476,147.490768
11,0,333.416931,76.233109,74.657387,323.408142,104.390625,127.435043,275.507294,122.934151,154.087189,125.898674,165.901306,147.729584
12,0,333.375763,76.208725,74.660477,323.351349,104.368965,127.436516,275.466125,122.896355,154.146088,125.931564,165.879669,147.756958
13,0,333.306091,76.198227,74.686424,323.298950,104.344673,127.450317,275.401672,122.901985,154.131378,125.915497,165.824158,147.691406
14,0,333.290619,76.185112,74.682358,323.270813,104.323563,127.463829,275.380310,122.879974,154.141510,125.866875,165.830429,147.737823
15,0,333.260590,76.196007,74.680298,323.242462,104.333214,127.459702,275.365143,122.883537,154.137604,125.850471,165.873474,147.716415
16,0,333.221619,76.185562,74.683311,323.217163,104.316132,127.461571,275.357086,122.893494,154.118988,125.851791,165.897964,147.668655
17,0,333.244781,76.166939,74.695091,323.239868,104.348366,127.462715,275.340790,122.913292,154.095596,125.900444,165.631760,147.513184
18,0,333.227203,76.220558,74.698799,323.215576,104.390594,127.433182,275.331909,122.973396,154.050003,125.941437,165.635742,147.464050
19,0,333.221069,76.252914,74.697014,323.190796,104.424286,127.431808,275.322601,122.975586,154.069519,125.851646,165.641525,147.469513
20,0,333.242035,76.286415,74.686852,323.175354,104.473099,127.414406,275.315308,123.018005,154.067642,125.870972,165.618576,147.467789
21,0,333.229767,76.331787,74.658371,323.180634,104.514397,127.412766,275.312439,123.061020,154.059143,125.889404,165.669632,147.491730
22,0,333.221619,76.352837,74.693596,323.181122,104.546089,127.420425,275.315399,123.072037,154.079803,125.873924,165.664978,147.471436
23,0,333.214630,76.369507,74.699417,323.172852,104.607590,127.417580,275.297821,123.136284,154.072098,125.853745,165.733521,147.517761
24,0,333.199341,76.381615,74.718750,323.158813,104.633644,127.429802,275.322998,123.165092,154.062057,125.799164,165.732864,147.515503
25,0,333.246033,76.373367,74.738693,323.179230,104.611443,127.431808,275.320801,123.189102,154.065842,125.825508,165.733704,147.485870
26,0,333.224304,76.357941,74.736664,323.162994,104.615532,127.439423,275.316803,123.184715,154.066696,125.838875,165.753815,147.477951
27,0,333.214294,76.352745,74.738861,323.144226,104.590294,127.446877,275.294891,123.172195,154.072037,125.850784,165.737808,147.475555
28,0,333.223938,76.345406,74.770294,323.136505,104.562218,127.468925,275.274170,123.131226,154.076691,125.836182,165.750885,147.469284
29,0,333.164856,76.281898,74.761292,323.129913,104.531624,127.468513,275.268555,123.111046,154.090103,125.824409,165.697617,147.451401
30,0,333.185638,76.297966,74.764305,323.122437,104.527954,127.492249,275.250122,123.111557,154.090012,125.852364,165.699936,147.482681
31,0,333.135376,76.250336,74.781586,323.123322,104.491615,127.489525,275.252686,123.098076,154.090225,125.811264,165.709702,147.442978
32,0,333.175690,76.241661,74.812569,323.112244,104.484680,127.473312,275.241974,123.116493,154.084839,125.818344,165.659409,147.400024
33,0,333.177490,76.214043,74.817680,323.093933,104.489311,127.491982,275.242523,123.118057,154.086853,125.859413,165.702850,147.372925
34,0,333.169098,76.222580,74.841797,323.113708,104.477257,127.511383,275.260284,123.148933,154.091202,125.839386,165.735001,147.387726
35,0,333.155579,76.206886,74.865479,323.112762,104.500069,127.537224,275.246063,123.146660,154.104538,125.861794,165.733032,147.385361
