Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,140.018051,-80.285240,6.430511,39.307732,-21.404177,57.312000,89.323059,-130.852631,9.220467,-7.102873,22.975542,53.909958,-32.287193,47.918114,36.573330,,,
2,0,140.031296,-80.293098,6.402438,39.307732,-21.404177,57.312000,89.170334,-130.834732,9.279755,-7.092699,22.985655,53.939079,-32.295151,47.909328,36.572651,,,
3,0,140.019165,-80.313553,6.408775,39.307770,-21.404129,57.312019,89.200951,-130.781097,9.248367,-7.118017,22.956459,53.934452,-32.325768,47.850456,36.558750,,,
4,0,139.997009,-80.309967,6.410459,39.298714,-21.406416,57.311909,89.084946,-130.792435,9.309031,-7.122611,22.965908,53.921337,-32.303841,47.875813,36.562057,,,
5,0,140.004349,-80.372971,6.425753,39.290619,-21.407768,57.309326,89.226303,-130.827682,9.238342,-7.127043,22.969181,53.926785,-32.294746,47.887348,36.565723,,,
6,0,139.997223,-80.354324,6.401589,39.288963,-21.435081,57.300858,89.136284,-130.892944,9.214782,-7.131639,22.968521,53.924053,-32.287090,47.890797,36.567436,,,
7,0,140.035797,-80.322472,6.401949,39.281227,-21.436438,57.298756,89.225990,-130.898788,9.199386,-7.157381,22.961756,53.919857,-32.288292,47.910130,36.570473,,,
8,0,139.997330,-80.354576,6.401677,39.238659,-21.451687,57.291866,89.133820,-130.850769,9.175485,-7.148674,22.929985,53.925953,-32.296467,47.908978,36.572670,,,
9,0,139.962204,-80.318565,6.401572,39.239735,-21.435820,57.302273,89.057571,-130.786575,9.190986,-7.139108,22.971191,53.923450,-32.273972,47.914822,36.591572,,,
10,0,139.962143,-80.319031,6.401486,39.233162,-21.437132,57.300713,89.072952,-130.882645,9.186475,-7.137222,22.984446,53.908665,-32.280746,47.908882,36.593235,,,
11,0,139.981979,-80.295387,6.398833,39.238358,-21.412619,57.282391,89.195999,-130.906448,9.165919,-7.152589,22.979668,53.875309,-32.289623,47.909496,36.568245,,,
12,0,139.981125,-80.318268,6.392803,39.231838,-21.413364,57.280228,89.217010,-130.924133,9.205768,-7.165283,22.964920,53.880039,-32.295048,47.896912,36.584732,,,
13,0,139.958847,-80.314934,6.393659,39.226646,-21.412056,57.284298,89.294510,-130.919189,9.250719,-7.148976,22.966751,53.904903,-32.313972,47.883728,36.584126,,,
14,0,139.985046,-80.277542,6.412333,39.212563,-21.437815,57.288441,89.196510,-130.940964,9.206083,-7.161018,22.972712,53.906853,-32.270866,47.922325,36.611164,,,
15,0,139.974289,-80.296043,6.375055,39.210365,-21.438389,57.266346,89.277092,-130.981873,9.136983,-7.175810,22.989311,53.900620,-32.297100,47.900913,36.559807,,,
16,0,139.997787,-80.282570,6.394508,39.221539,-21.427267,57.260994,89.239067,-130.942078,9.187498,-7.172246,22.991188,53.881741,-32.308659,47.885498,36.548618,,,
17,0,140.009659,-80.269943,6.376335,39.218685,-21.415466,57.261600,89.138664,-130.930176,9.211705,-7.196805,22.990244,53.878830,-32.302162,47.901909,36.573277,,,
18,0,140.014465,-80.283012,6.399762,39.209892,-21.433880,57.269093,89.266891,-130.886658,9.210886,-7.184200,22.983162,53.887161,-32.288330,47.912727,36.558914,,,
19,0,140.013474,-80.282074,6.398661,39.219742,-21.422598,57.273293,89.244553,-130.917114,9.154446,-7.187416,22.993872,53.917297,-32.293518,47.894047,36.585186,,,
20,0,140.014175,-80.282394,6.399384,39.232460,-21.402660,57.268204,89.206596,-130.800323,9.194487,-7.200164,22.995535,53.885498,-32.297901,47.899883,36.561253,,,
21,0,140.011856,-80.278389,6.387694,39.212685,-21.432934,57.265900,89.121323,-130.800522,9.194843,-7.193523,22.988705,53.916718,-32.335697,47.867908,36.570908,,,
22,0,140.018631,-80.268677,6.420191,39.230522,-21.401646,57.286381,89.212364,-130.875732,9.168878,-7.191764,22.989616,53.921432,-32.313072,47.884792,36.595428,,,
23,0,140.037064,-80.250961,6.432818,39.222469,-21.395775,57.273064,89.223709,-130.855179,9.128223,-7.174091,22.992977,53.913513,-32.315765,47.872448,36.582764,,,
24,0,140.046036,-80.262413,6.406114,39.244846,-21.401876,57.287472,89.177353,-130.773941,9.175870,-7.165536,22.976515,53.924511,-32.325161,47.858418,36.597225,,,
25,0,140.067276,-80.241112,6.414455,39.241444,-21.412672,57.252441,89.302704,-130.895584,9.110248,-7.187141,22.968021,53.917873,-32.302612,47.873333,36.581699,,,
26,0,140.087265,-80.229424,6.408019,39.236839,-21.392159,57.286869,89.300980,-130.851669,9.092442,-7.191936,22.980646,53.923721,-32.326073,47.875011,36.588631,,,
27,0,140.093063,-80.215149,6.409235,39.247395,-21.395315,57.282021,89.327141,-130.873077,9.140694,-7.190269,22.968304,53.926052,-32.337742,47.848381,36.593689,,,
28,0,140.105652,-80.195793,6.402760,39.243172,-21.411602,57.291862,89.309067,-130.830368,9.164398,-7.181355,22.971428,53.915470,-32.344212,47.835945,36.592995,,,
29,0,140.117783,-80.191597,6.388776,39.239792,-21.405632,57.263222,89.450157,-130.862152,9.158632,-7.181435,22.968597,53.917622,-32.327793,47.857437,36.595852,,,
30,0,140.122284,-80.177567,6.409503,39.253490,-21.399559,57.265068,89.407936,-130.819321,9.148741,-7.170537,22.983219,53.921734,-32.307159,47.868942,36.607811,,,
31,0,140.118683,-80.167496,6.387267,39.255470,-21.422703,57.265274,89.231979,-130.704498,9.167546,-7.181392,22.981169,53.921700,-32.341663,47.850723,36.583984,,,
32,0,140.100891,-80.140350,6.389030,39.252373,-21.398073,57.255684,89.286545,-130.713715,9.133876,-7.171485,22.980078,53.921326,-32.331623,47.846001,36.586544,,,
33,0,140.112854,-80.180313,6.366678,39.250771,-21.419411,57.252609,89.212669,-130.785080,9.123585,-7.183094,22.967697,53.918324,-32.306362,47.873264,36.586586,,,
34,0,140.119339,-80.174393,6.378728,39.254307,-21.425117,57.276031,89.284737,-130.829178,9.106809,-7.162793,22.962940,53.930294,-32.307915,47.871349,36.586517,,,
35,0,140.093445,-80.197136,6.353286,39.237125,-21.449818,57.239223,89.287697,-130.805527,9.123553,-7.169107,22.967743,53.904366,-32.325073,47.850525,36.563587,,,
36,0,140.093170,-80.196175,6.352228,39.253105,-21.443766,57.267082,89.301628,-130.836792,9.126578,-7.186162,22.956528,53.916786,-32.298832,47.864723,36.568832,,,
37,0,140.061234,-80.213692,6.335974,39.271725,-21.439009,57.259270,89.277557,-130.891235,9.097281,-7.188494,22.956667,53.915607,-32.311050,47.886936,36.563541,,,
38,0,140.045044,-80.272964,6.360714,39.250843,-21.445379,57.269077,89.250259,-130.916107,9.102838,-7.184023,22.936352,53.914322,-32.304337,47.851830,36.576138,,,
39,0,140.028244,-80.249199,6.355055,39.228718,-21.430052,57.272713,89.251831,-130.887909,9.139800,-7.187124,22.945583,53.923519,-32.311176,47.850407,36.577221,,,
40,0,140.012680,-80.300468,6.358911,39.225204,-21.432011,57.259205,89.211555,-130.847626,9.101037,-7.170093,22.953688,53.912159,-32.334770,47.844982,36.570953,,,
41,0,140.012985,-80.302757,6.360022,39.204304,-21.446438,57.271389,89.159409,-130.862213,9.169814,-7.184488,22.960897,53.909992,-32.340363,47.844490,36.573303,,,
42,0,139.996933,-80.303398,6.355384,39.196354,-21.447342,57.248367,89.084274,-130.961960,9.174148,-7.160950,22.939026,53.919682,-32.314526,47.831619,36.551514,,,
43,0,139.998856,-80.303833,6.356661,39.245853,-21.425137,57.268539,89.165649,-130.933258,9.152988,-7.168006,22.936979,53.920513,-32.299633,47.857170,36.589191,,,
44,0,140.015488,-80.314041,6.357897,39.252075,-21.426485,57.256245,89.165321,-130.894821,9.159211,-7.147175,22.934561,53.911140,-32.304527,47.820881,36.580677,,,
45,0,140.011536,-80.310165,6.345579,39.234219,-21.466312,57.258129,89.040703,-130.886581,9.200476,-7.165299,22.944715,53.899967,-32.337906,47.849762,36.549435,,,
46,0,140.007675,-80.257202,6.351119,39.220989,-21.453276,57.248672,89.234886,-130.838531,9.140568,-7.178534,22.969612,53.904835,-32.327564,47.839436,36.549500,,,
47,0,140.031769,-80.267632,6.367520,39.233627,-21.436073,57.258125,89.169693,-130.965256,9.163985,-7.174181,22.951424,53.887386,-32.309963,47.847542,36.560425,,,
48,0,140.032928,-80.269348,6.373079,39.215240,-21.397781,57.263069,89.183487,-130.907547,9.134955,-7.171138,22.941883,53.893105,-32.317307,47.828327,36.543682,,,
