Trajectories
100
,,Sano:Wrist,,,Sano:MPH3,,,Sano:PIP3,,,Sano:DIP3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,735.277039,176.020447,33.492573,741.306519,7.631687,-11.796880,736.336304,-31.959194,-55.020294,709.726746,-42.616688,-111.838493
2,0,735.262817,176.011734,33.498138,741.289307,7.620596,-11.797334,736.327393,-31.966585,-54.993378,709.726746,-42.616688,-111.838493
3,0,735.289917,176.020401,33.494640,741.297729,7.630589,-11.799909,736.336853,-31.980846,-55.010876,709.726746,-42.616688,-111.838493
4,0,735.285828,175.985794,33.510372,741.680908,7.469628,-11.641532,736.352539,-31.981750,-55.006481,709.767090,-42.613533,-111.841270
5,0,735.301086,175.989441,33.496185,741.712952,7.467719,-11.642555,736.355957,-31.989254,-54.985291,709.774170,-42.600681,-111.817444
6,0,735.313843,175.962677,33.480335,741.371887,7.595716,-11.734245,736.344543,-31.990402,-54.970966,709.776245,-42.606621,-111.815353
7,0,735.318787,175.946945,33.467365,741.374695,7.594241,-11.738186,736.378845,-32.005753,-54.963799,709.765442,-42.613346,-111.845474
8,0,735.340210,175.948624,33.492172,741.395264,7.546236,-11.753665,736.358032,-32.021252,-54.964226,709.775085,-42.612377,-111.873703
9,0,735.331543,175.937668,33.484074,741.415833,7.542233,-11.762739,736.352783,-32.045544,-54.947372,709.790955,-42.651253,-111.818718
10,0,735.316711,175.928146,33.498379,741.693787,7.429229,-11.651964,736.353577,-32.047092,-54.924816,709.778687,-42.648605,-111.859879
11,0,735.324219,175.903198,33.493797,741.417847,7.515687,-11.738800,736.325439,-32.055088,-54.930786,709.794800,-42.651852,-111.825073
12,0,735.294800,175.894104,33.478294,741.416321,7.497580,-11.743603,736.391602,-32.070366,-54.940910,709.765015,-42.668991,-111.859947
13,0,735.284973,175.874588,33.487549,741.420410,7.478770,-11.725713,736.346497,-32.089748,-54.929596,709.780396,-42.674702,-111.822586
